sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
114,3.79E-07,8.00E-08,5.74E+19,1.31E-06,8.00E-07,5.56E-04,,1.39E+00,8.62E+04,,2.26E+00,FALSE,4.31E+03,1.74E+00,1.26E+02,3.49E+02,9.22E+01,4.55E+02,1.98E-06,8.62E+04,8.62E+04,5.33E-01,1.40E+04
115,4.63E-07,1.00E-07,9.02E+19,1.31E-06,6.85E-07,6.85E-04,8.75E-01,5.99E-01,1.69E+01,5.14E+03,5.66E+01,TRUE,8.44E-01,7.49E-01,6.37E-01,4.44E+02,9.39E+01,5.53E+02,1.83E-06,1.70E-04,4.66E+02,5.84E-01,1.47E+04
116,4.73E-07,9.00E-08,1.00E+17,1.31E-06,0.00E+00,7.22E-04,1.01E+00,7.26E-01,1.53E+01,2.14E+03,3.33E+01,TRUE,7.65E-01,9.08E-01,7.05E-01,3.73E+02,9.38E+01,4.82E+02,4.73E-07,3.40E-03,2.38E+02,1.03E+00,5.39E+03
117,4.65E-07,1.00E-07,1.56E+20,1.31E-06,5.62E-07,7.74E-04,8.65E-01,6.70E-01,1.47E+01,3.98E+03,6.52E+01,TRUE,7.33E-01,8.37E-01,6.19E-01,4.59E+02,9.61E+01,5.69E+02,1.59E-06,2.30E-03,4.75E+02,6.44E-01,1.25E+04
118,4.63E-07,1.00E-07,8.81E+19,1.31E-06,7.02E-07,6.60E-04,8.78E-01,5.80E-01,1.76E+01,5.36E+03,5.47E+01,TRUE,8.80E-01,7.25E-01,6.50E-01,4.50E+02,9.79E+01,5.63E+02,1.87E-06,1.43E-04,4.67E+02,5.77E-01,1.49E+04
119,4.56E-07,9.00E-08,2.01E+20,1.31E-06,7.40E-07,6.26E-04,8.80E-01,5.51E-01,1.87E+01,4.44E+03,5.68E+01,TRUE,9.37E-01,6.89E-01,6.76E-01,3.83E+02,9.47E+01,4.92E+02,1.94E-06,3.77E-04,5.17E+02,5.57E-01,1.20E+04
120,4.66E-07,9.00E-08,1.10E+20,1.31E-06,6.07E-07,7.67E-04,8.65E-01,6.64E-01,1.48E+01,3.96E+03,6.42E+01,TRUE,7.41E-01,8.29E-01,6.19E-01,3.96E+02,9.61E+01,5.07E+02,1.68E-06,8.32E-04,4.72E+02,6.06E-01,1.27E+04
121,4.62E-07,9.00E-08,8.66E+19,1.31E-06,7.05E-07,6.69E-04,8.75E-01,5.85E-01,1.74E+01,4.81E+03,5.60E+01,TRUE,8.69E-01,7.32E-01,6.45E-01,3.90E+02,9.38E+01,4.99E+02,1.87E-06,2.00E-04,4.72E+02,5.66E-01,1.39E+04
122,4.48E-07,1.10E-07,7.13E+20,1.31E-06,4.27E-07,4.62E-04,,1.16E+00,6.59E+04,,3.45E-01,FALSE,3.30E+03,1.44E+00,2.00E+02,5.28E+02,9.45E+01,6.37E+02,1.30E-06,6.59E+04,6.59E+04,7.53E-01,9.81E+03
123,4.62E-07,9.00E-08,8.89E+19,1.31E-06,6.98E-07,6.74E-04,8.75E-01,5.89E-01,1.72E+01,4.74E+03,5.64E+01,TRUE,8.61E-01,7.37E-01,6.42E-01,3.80E+02,9.59E+01,4.91E+02,1.86E-06,2.15E-04,4.72E+02,5.67E-01,1.38E+04
124,4.62E-07,9.00E-08,9.06E+19,1.31E-06,6.95E-07,6.75E-04,8.75E-01,5.90E-01,1.72E+01,4.71E+03,5.66E+01,TRUE,8.59E-01,7.38E-01,6.41E-01,3.78E+02,9.46E+01,4.87E+02,1.85E-06,2.23E-04,4.73E+02,5.69E-01,1.37E+04
125,4.62E-07,9.00E-08,9.26E+19,1.31E-06,6.91E-07,6.78E-04,8.74E-01,5.93E-01,1.71E+01,4.67E+03,5.68E+01,TRUE,8.55E-01,7.41E-01,6.40E-01,3.82E+02,9.58E+01,4.93E+02,1.84E-06,2.36E-04,4.73E+02,5.72E-01,1.36E+04
126,4.62E-07,9.00E-08,9.48E+19,1.31E-06,6.87E-07,6.81E-04,8.74E-01,5.95E-01,1.70E+01,4.63E+03,5.71E+01,TRUE,8.51E-01,7.44E-01,6.39E-01,3.86E+02,9.48E+01,4.95E+02,1.84E-06,2.51E-04,4.74E+02,5.74E-01,1.35E+04
127,4.62E-07,1.00E-07,9.76E+19,1.31E-06,6.81E-07,6.85E-04,8.75E-01,5.99E-01,1.69E+01,5.06E+03,5.68E+01,TRUE,8.44E-01,7.49E-01,6.37E-01,4.28E+02,9.59E+01,5.39E+02,1.82E-06,1.89E-04,4.67E+02,5.84E-01,1.45E+04
128,4.63E-07,1.00E-07,9.30E+19,1.31E-06,6.82E-07,6.86E-04,8.75E-01,6.00E-01,1.68E+01,5.10E+03,5.68E+01,TRUE,8.42E-01,7.50E-01,6.36E-01,4.42E+02,9.39E+01,5.51E+02,1.83E-06,1.81E-04,4.66E+02,5.86E-01,1.46E+04
129,4.65E-07,1.00E-07,1.50E+20,1.31E-06,5.47E-07,7.97E-04,8.63E-01,6.88E-01,1.42E+01,3.90E+03,6.66E+01,TRUE,7.09E-01,8.59E-01,6.21E-01,4.42E+02,9.39E+01,5.51E+02,1.56E-06,2.44E-03,4.72E+02,6.51E-01,1.24E+04
130,4.64E-07,1.00E-07,1.27E+20,1.31E-06,6.00E-07,7.48E-04,8.68E-01,6.49E-01,1.53E+01,4.33E+03,6.22E+01,TRUE,7.64E-01,8.11E-01,6.20E-01,4.48E+02,9.79E+01,5.61E+02,1.66E-06,8.28E-04,4.69E+02,6.23E-01,1.32E+04
131,4.65E-07,9.00E-08,1.35E+20,1.31E-06,5.85E-07,7.58E-04,8.65E-01,6.56E-01,1.51E+01,3.82E+03,6.43E+01,TRUE,7.53E-01,8.19E-01,6.19E-01,3.88E+02,9.37E+01,4.97E+02,1.64E-06,1.80E-03,4.80E+02,6.18E-01,1.20E+04
132,4.64E-07,1.00E-07,9.00E+19,1.31E-06,6.54E-07,7.54E-04,8.68E-01,6.54E-01,1.51E+01,4.70E+03,6.20E+01,TRUE,7.55E-01,8.18E-01,6.20E-01,4.56E+02,9.43E+01,5.65E+02,1.77E-06,2.44E-04,4.63E+02,5.97E-01,1.45E+04
133,4.64E-07,9.00E-08,9.41E+19,1.31E-06,6.48E-07,7.51E-04,8.67E-01,6.51E-01,1.52E+01,4.22E+03,6.26E+01,TRUE,7.60E-01,8.14E-01,6.20E-01,3.90E+02,9.44E+01,4.99E+02,1.76E-06,3.91E-04,4.70E+02,5.89E-01,1.33E+04
134,4.66E-07,1.00E-07,1.18E+20,1.31E-06,6.14E-07,7.61E-04,8.67E-01,6.60E-01,1.50E+01,4.37E+03,6.31E+01,TRUE,7.48E-01,8.25E-01,6.20E-01,4.40E+02,9.85E+01,5.53E+02,1.69E-06,5.19E-04,4.68E+02,6.16E-01,1.35E+04
135,3.83E-07,1.00E-07,7.42E+20,1.31E-06,4.93E-07,6.91E-04,8.73E-01,6.04E-01,1.68E+01,3.11E+03,6.89E+01,TRUE,8.38E-01,7.54E-01,6.36E-01,5.10E+02,1.02E+02,6.28E+02,1.37E-06,2.47E-02,5.77E+02,7.14E-01,8.89E+03
136,3.72E-07,1.00E-07,6.63E+20,1.31E-06,5.79E-07,6.04E-04,8.85E-01,5.35E-01,1.95E+01,3.66E+03,5.98E+01,TRUE,9.75E-01,6.68E-01,6.98E-01,5.07E+02,9.78E+01,6.19E+02,1.53E-06,9.19E-03,5.72E+02,6.67E-01,9.37E+03
