sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
97,3.500000e-07,9.000000e-08,4.169238e+20,7.762809e-07,1.310000e-06,7.905596e-04,8.702399e-01,6.879765e-01,1.454243e+01,3.365174e+03,7.143508e+01,5.497903e-01
98,4.599562e-07,1.000000e-07,6.455958e+20,1.207536e-07,1.310000e-06,7.341276e-04,8.641555e-01,6.344004e-01,1.802376e+01,2.475109e+03,7.085639e+01,7.938108e-01
99,4.675030e-07,7.000000e-08,6.199259e+20,3.830885e-07,1.310000e-06,8.599971e-04,8.536445e-01,7.341318e-01,1.299323e+01,2.233241e+03,9.587243e+01,4.640652e-01
100,3.790612e-07,1.000000e-07,1.610975e+19,2.015350e-08,1.310000e-06,4.740219e-04,9.185854e-01,4.354296e-01,2.588509e+01,7.167010e+03,3.738480e+01,1.537210e+00
101,4.227265e-07,1.200000e-07,4.689109e+20,2.240550e-07,1.310000e-06,4.977746e-04,,1.244437e+00,6.941762e+04,,1.011278e-01,2.085706e+02
102,4.749733e-07,7.000000e-08,9.200411e+20,6.322827e-07,1.310000e-06,9.264426e-04,8.516168e-01,7.889741e-01,1.184972e+01,2.372008e+03,1.093584e+02,4.131984e-01
103,4.693039e-07,9.000000e-08,1.000000e+17,5.121209e-09,1.310000e-06,7.278267e-04,1.004122e+00,7.308266e-01,1.515717e+01,2.129921e+03,3.349358e+01,6.003690e-01
104,4.685584e-07,9.000000e-08,1.000000e+17,1.211952e-08,1.310000e-06,7.219123e-04,1.005973e+00,7.262245e-01,1.530075e+01,2.138835e+03,3.320014e+01,6.091608e-01
105,4.708933e-07,9.000000e-08,6.702901e+19,0.000000e+00,1.310000e-06,7.111323e-04,8.680784e-01,6.173186e-01,1.902401e+01,3.509984e+03,5.318301e+01,8.738479e-01
106,4.776846e-07,7.000000e-08,9.114779e+20,6.344621e-07,1.310000e-06,9.751654e-04,8.490693e-01,8.279830e-01,1.112821e+01,2.295077e+03,1.150087e+02,3.857514e-01
107,4.771722e-07,7.000000e-08,9.078650e+20,6.323643e-07,1.310000e-06,9.889875e-04,8.483762e-01,8.390335e-01,1.093652e+01,2.269197e+03,1.165666e+02,3.791132e-01
108,4.333024e-07,8.000000e-08,7.288027e+20,5.394016e-08,1.310000e-06,7.554037e-04,,1.888509e+00,7.616068e+04,,3.036448e-03,2.146927e+02
109,4.763492e-07,7.000000e-08,9.084481e+20,6.310582e-07,1.310000e-06,9.833061e-04,8.486443e-01,8.344772e-01,1.101477e+01,2.275508e+03,1.159160e+02,3.817867e-01
110,4.587799e-07,1.300000e-07,1.477868e+20,7.786344e-07,1.310000e-06,4.372665e-04,9.213626e-01,4.028810e-01,2.786790e+01,8.349383e+03,7.403632e+00,1.772757e+00
111,4.765791e-07,7.000000e-08,9.083711e+20,6.314797e-07,1.310000e-06,9.855257e-04,8.485410e-01,8.362590e-01,1.098409e+01,2.272546e+03,1.161600e+02,3.807332e-01
112,4.765524e-07,7.000000e-08,9.105067e+20,6.322041e-07,1.310000e-06,9.855909e-04,8.485404e-01,8.363137e-01,1.098317e+01,2.273162e+03,1.162019e+02,3.807018e-01
113,3.697819e-07,8.000000e-08,1.986730e+20,6.085984e-07,1.310000e-06,1.610712e-04,,4.026781e-01,8.265394e+04,,1.607841e-01,2.049424e+02
114,4.764914e-07,7.000000e-08,9.117301e+20,6.325958e-07,1.310000e-06,9.861836e-04,8.485144e-01,8.367910e-01,1.097502e+01,2.272367e+03,1.162960e+02,3.804242e-01
115,4.764682e-07,7.000000e-08,9.113247e+20,6.321799e-07,1.310000e-06,9.862069e-04,8.485103e-01,8.368067e-01,1.097473e+01,2.271897e+03,1.162986e+02,3.804141e-01
116,4.651020e-07,7.000000e-08,7.097374e+20,3.962088e-07,1.310000e-06,8.014925e-04,8.575529e-01,6.873223e-01,1.413512e+01,2.349541e+03,9.099795e+01,5.233679e-01
117,4.764187e-07,7.000000e-08,9.116296e+20,6.320063e-07,1.310000e-06,9.865775e-04,8.484912e-01,8.371023e-01,1.096964e+01,2.270964e+03,1.163449e+02,3.802400e-01
118,4.763933e-07,7.000000e-08,9.117130e+20,6.321864e-07,1.310000e-06,9.867809e-04,8.484823e-01,8.372661e-01,1.096682e+01,2.270718e+03,1.163701e+02,3.801438e-01
119,4.564719e-07,9.000000e-08,2.006302e+20,7.397976e-07,1.310000e-06,6.262225e-04,8.804973e-01,5.513872e-01,1.873229e+01,4.443060e+03,5.674834e+01,8.370266e-01
120,4.763720e-07,7.000000e-08,9.120657e+20,6.318685e-07,1.310000e-06,9.871195e-04,8.484639e-01,8.375352e-01,1.096217e+01,2.269816e+03,1.164144e+02,3.799847e-01
121,4.763682e-07,7.000000e-08,9.121833e+20,6.318922e-07,1.310000e-06,9.873194e-04,8.484550e-01,8.376961e-01,1.095943e+01,2.269451e+03,1.164327e+02,3.798913e-01
122,4.763651e-07,7.000000e-08,9.122752e+20,6.319079e-07,1.310000e-06,9.874996e-04,8.484444e-01,8.378386e-01,1.095696e+01,2.269359e+03,1.164703e+02,3.798072e-01
123,4.763623e-07,7.000000e-08,9.123662e+20,6.319103e-07,1.310000e-06,9.876750e-04,8.484359e-01,8.379790e-01,1.095457e+01,2.269080e+03,1.164941e+02,3.797261e-01
124,4.763598e-07,7.000000e-08,9.124576e+20,6.319048e-07,1.310000e-06,9.878486e-04,8.484275e-01,8.381180e-01,1.095218e+01,2.268772e+03,1.165144e+02,3.796446e-01
125,4.610327e-07,7.000000e-08,6.915597e+20,3.843664e-07,1.310000e-06,8.849468e-04,8.522059e-01,7.541569e-01,1.255295e+01,2.163914e+03,1.000770e+02,4.434147e-01
126,4.633947e-07,7.000000e-08,6.672388e+20,3.559432e-07,1.310000e-06,8.444862e-04,8.544022e-01,7.215308e-01,1.328644e+01,2.213153e+03,9.496480e+01,4.785364e-01
127,4.763025e-07,7.000000e-08,9.126748e+20,6.311693e-07,1.310000e-06,9.883862e-04,8.483987e-01,8.385456e-01,1.094481e+01,2.266907e+03,1.165805e+02,3.793936e-01
128,4.685285e-07,7.000000e-08,8.868274e+20,5.452656e-07,1.310000e-06,9.324495e-04,8.507117e-01,7.932457e-01,1.176180e+01,2.258990e+03,1.093620e+02,4.095836e-01
129,4.688763e-07,9.000000e-08,1.958886e+19,0.000000e+00,1.310000e-06,7.096796e-04,8.735673e-01,6.199529e-01,1.702494e+01,4.644697e+03,5.449219e+01,7.122123e-01
130,4.733871e-07,7.000000e-08,9.037256e+20,5.970622e-07,1.310000e-06,9.699980e-04,8.490995e-01,8.236248e-01,1.120281e+01,2.257993e+03,1.141729e+02,3.883750e-01
131,4.756267e-07,7.000000e-08,9.119519e+20,6.255514e-07,1.310000e-06,9.877644e-04,8.483960e-01,8.380154e-01,1.095351e+01,2.261019e+03,1.164597e+02,3.796831e-01
132,4.756412e-07,7.000000e-08,9.122998e+20,6.255823e-07,1.310000e-06,9.882231e-04,8.483735e-01,8.383823e-01,1.094726e+01,2.260384e+03,1.165219e+02,3.794712e-01
133,4.756551e-07,7.000000e-08,9.124581e+20,6.256640e-07,1.310000e-06,9.885134e-04,8.483600e-01,8.386152e-01,1.094328e+01,2.260006e+03,1.165580e+02,3.793362e-01
